GPS_X	|	GPS_Y		|	Euler_phi		|	Euler_psi		|	Euler_theta	|	Acc_forward	|	Acc_sideways	|	Acc_up	|	Gyro 1	|	Gyro 2	|	Gyro 3	|	Mag_forward	|	Mag_sideways	|	Mag_up	|	Music_Track
423.0	|	276.0	|	2.515337103	|	5.217922022	|	-14.98818182	|	-0.755	|	-0.101	|	0.662	|	-9.658	|	-14.96	|	-14.96	|	0.855	|	0.172	|	0.342	|	0.0
422.0	|	276.0	|	2.474127361	|	5.199504254	|	-15.0505833	|	-0.728	|	-0.068	|	0.651	|	-6.837	|	-16.59	|	-16.59	|	0.853	|	0.154	|	0.358	|	0.0
421.0	|	276.0	|	2.430262885	|	5.181009193	|	-15.11380682	|	-0.693	|	-0.058	|	0.647	|	-7.696	|	-16.653	|	-16.653	|	0.841	|	0.165	|	0.335	|	0.0
425.0	|	277.0	|	2.374795986	|	5.166374282	|	-15.17202344	|	-0.648	|	-0.083	|	0.64	|	-10.148	|	-15.462	|	-15.462	|	0.835	|	0.162	|	0.366	|	0.0
432.0	|	280.0	|	2.31244602	|	5.152168157	|	-15.22939139	|	-0.592	|	-0.113	|	0.627	|	-11.252	|	-15.148	|	-15.148	|	0.858	|	0.173	|	0.34	|	0.0
437.0	|	284.0	|	2.247115578	|	5.131512286	|	-15.29224337	|	-0.578	|	-0.143	|	0.614	|	-11.191	|	-16.59	|	-16.59	|	0.847	|	0.162	|	0.365	|	0.0
439.0	|	285.0	|	2.187412653	|	5.109572578	|	-15.35774803	|	-0.588	|	-0.119	|	0.603	|	-10.332	|	-17.154	|	-17.154	|	0.855	|	0.173	|	0.337	|	0.0
443.0	|	286.0	|	2.149986473	|	5.101959186	|	-15.4079604	|	-0.566	|	-0.062	|	0.594	|	-5.979	|	-13.581	|	-13.581	|	0.843	|	0.169	|	0.359	|	0.0
448.0	|	285.0	|	2.130786059	|	5.123617067	|	-15.42592096	|	-0.549	|	-0.051	|	0.597	|	-2.238	|	-5.807	|	-5.807	|	0.874	|	0.17	|	0.337	|	0.0
453.0	|	283.0	|	2.115604482	|	5.176220725	|	-15.41104849	|	-0.624	|	-0.06	|	0.615	|	-1.993	|	2.405	|	2.405	|	0.858	|	0.17	|	0.359	|	0.0
452.0	|	283.0	|	2.108091469	|	5.258278997	|	-15.36528056	|	-0.773	|	-0.119	|	0.622	|	-0.337	|	10.304	|	10.304	|	0.859	|	0.177	|	0.323	|	0.0
455.0	|	268.0	|	2.126847282	|	5.369727825	|	-15.28691607	|	-0.802	|	-0.192	|	0.584	|	6.531	|	18.391	|	18.391	|	0.853	|	0.17	|	0.344	|	0.0
455.0	|	264.0	|	2.177918761	|	5.503150179	|	-15.18468237	|	-0.777	|	-0.238	|	0.578	|	14.809	|	24.472	|	24.472	|	0.865	|	0.183	|	0.325	|	0.0
455.0	|	264.0	|	2.249838393	|	5.664809514	|	-15.05086704	|	-0.761	|	-0.233	|	0.518	|	19.346	|	32.057	|	32.057	|	0.856	|	0.167	|	0.354	|	0.0
450.0	|	264.0	|	2.329737841	|	5.852606833	|	-14.88915255	|	-0.722	|	-0.209	|	0.417	|	20.266	|	38.953	|	38.953	|	0.862	|	0.172	|	0.332	|	0.0
444.0	|	268.0	|	2.402039834	|	6.056773962	|	-14.7101983	|	-0.673	|	-0.14	|	0.332	|	16.832	|	43.091	|	43.091	|	0.844	|	0.169	|	0.361	|	0.0
443.0	|	280.0	|	2.462013792	|	6.268965068	|	-14.52274395	|	-0.665	|	-0.051	|	0.247	|	11.681	|	44.972	|	44.972	|	0.856	|	0.167	|	0.342	|	0.0
438.0	|	284.0	|	2.50823917	|	6.481687718	|	-14.33320028	|	-0.62	|	0.028	|	0.199	|	6.592	|	45.097	|	45.097	|	0.834	|	0.144	|	0.372	|	0.0
438.0	|	287.0	|	2.539613244	|	6.694176892	|	-14.14427668	|	-0.618	|	0.103	|	0.227	|	1.012	|	45.16	|	45.16	|	0.828	|	0.177	|	0.349	|	0.0
